totinc,p,ainc,pop,tinc,sinc,year,iso
89996.0851154205,0.999,3856797.762207855,27830240.515607055,2699398.885097425,0.03856965535261849,1995,ES
89996.0851154205,0.9998999999999999,18765054.01731455,27830240.515607055,7129050.360416185,0.020850967009583832,1995,ES
90882.2499574434,0,0,28252792.250009578,2.080631489287297e-8,0,1996,ES
90882.2499574434,0.1,233.22610769370104,28252792.250009578,0.001412873773202251,2.566244869629787e-4,1996,ES
90882.2499574434,0.2,3133.166405385638,28252792.250009578,2318.2281866849517,0.003447500922185329,1996,ES
90882.2499574434,0.3,23429.944424181667,28252792.250009578,17003.708048629105,0.02578055058622888,1996,ES
90882.2499574434,0.4,41546.067444812405,28252792.250009578,31416.15263496008,0.04571417131977562,1996,ES
90882.2499574434,0.5,56672.450124801515,28252792.250009578,51961.28637311127,0.06235810639738671,1996,ES
90882.2499574434,0.6,65049.90750062592,28252792.250009578,60720.06218462232,0.07157603110737928,1996,ES
90882.2499574434,0.7,73365.5019451068,28252792.250009578,70073.24680104903,0.04036294324769746,1996,ES
90882.2499574434,0.75,81818.0694255738,28252792.250009578,76988.1584140731,0.04501322836081086,1996,ES
90882.2499574434,0.8,118120.62377756138,28252792.250009578,88620.03343416641,0.12997106017167556,1996,ES
90882.2499574434,0.9,230020.13382676544,28252792.250009578,168795.01291793594,0.12654843709001182,1996,ES
90882.2499574434,0.95,530084.7950937873,28252792.250009578,317607.40326730977,0.23330619360414404,1996,ES
90882.2499574434,0.99,1149531.8333490437,28252792.250009578,968740.0800849642,0.06324292333691671,1996,ES
90882.2499574434,0.9949999999999999,1983489.3114578526,28252792.250009578,1418200.823059605,0.0872993048647761,1996,ES
90882.2499574434,0.999,4513767.198934713,28252792.250009578,3157291.674749233,0.04469949281562739,1996,ES
90882.2499574434,0.9998999999999999,18561274.236919966,28252792.250009578,8997707.962385645,0.02042343168839905,1996,ES
93955.92397261718,0,0,28666399.328147255,1.0048086554367392e-8,0,1997,ES
93955.92397261718,0.1,245.49368347006114,28666399.328147255,0.0014177217926175847,2.612860084709599e-4,1997,ES
93955.92397261718,0.2,3333.7818068575657,28666399.328147255,2397.248350217326,0.0035482401384602136,1997,ES
93955.92397261718,0.3,24021.533891180497,28666399.328147255,17158.663354852204,0.02556681141061571,1997,ES
93955.92397261718,0.4,42730.78461018465,28666399.328147255,33806.603896249726,0.04547960661068933,1997,ES
93955.92397261718,0.5,59731.78875250579,28666399.328147255,54050.76396628369,0.06357426570560279,1997,ES
93955.92397261718,0.6,68574.40849855979,28666399.328147255,64207.8717437012,0.07298572096267748,1997,ES
93955.92397261718,0.7,76456.41530785919,28666399.328147255,73215.45751443962,0.0406873840813603,1997,ES
93955.92397261718,0.75,84620.84240768908,28666399.328147255,80125.82355374687,0.04503220171213011,1997,ES
93955.92397261718,0.8,119175.97293992632,28666399.328147255,90670.14446921792,0.12684242557676226,1997,ES
93955.92397261718,0.9,228756.08103421837,28666399.328147255,167999.69029155214,0.12173584770497681,1997,ES
93955.92397261718,0.95,528978.9952952814,28666399.328147255,315940.1623491132,0.22520304114063072,1997,ES
