p,botsh,growth_before_1,growth_before_2,growth_after_1,growth_after_2,before,now,after
73,0.35246071437303284,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
74,0.36340475488421997,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
75,0.3746997834756336,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
76,0.3863539031921617,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
77,0.39833327333545343,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
78,0.41060929414879355,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
79,0.4231828014676461,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
80,0.4360835236798837,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
81,0.44936490562472164,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
82,0.4630927240071421,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
83,0.4773214357871215,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
84,0.49205586652139965,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
85,0.5072636344244333,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
86,0.522963120784475,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
87,0.5392316601379774,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
88,0.5561676490619318,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
89,0.5737988231098403,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
90,0.5920591370962386,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
91,0.6110028990504206,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
92,0.6308613993354839,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
93,0.6519362965423188,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
94,0.6745257883964313,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
95,0.6990445546534734,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
96,0.7261375867448521,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
97,0.7569103535622044,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
98,0.7935743926640694,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
99,0.8420915350319247,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
